mileage,make,fuel,gear,offerType,price,hp,year
68067,Peugeot,Gasoline,Manual,Used,8985,125.0,2014
49252,Ford,Gasoline,Manual,Used,8990,125.0,2014
124800,Opel,Gasoline,Automatic,Used,8990,140.0,2014
91784,Ford,Gasoline,Manual,Used,8990,101.0,2014
82500,Renault,Diesel,Manual,Used,8990,90.0,2014
98000,Hyundai,Gasoline,Manual,Used,8990,135.0,2014
34100,Kia,Gasoline,Automatic,Used,8990,86.0,2014
120500,Honda,Other,Manual,Used,8990,141.0,2014
27241,Renault,Diesel,Manual,Used,8990,110.0,2014
90173,Ford,Gasoline,Manual,Used,8990,101.0,2014
54210,Renault,Gasoline,Automatic,Used,8990,120.0,2014
123559,Peugeot,Diesel,Automatic,Used,8995,92.0,2014
81430,Citroen,Gasoline,Automatic,Used,8999,82.0,2014
73000,SEAT,Gasoline,Manual,Used,9000,110.0,2014
56700,Chevrolet,Gasoline,Manual,Used,9000,140.0,2014
68220,Skoda,Gasoline,Manual,Used,8900,75.0,2015
62665,Opel,Gasoline,Automatic,Used,8950,90.0,2015
172000,Volkswagen,Diesel,Manual,Used,8990,120.0,2015
53000,Skoda,Gasoline,Manual,Used,8990,86.0,2015
175488,Ford,Diesel,Manual,Used,8990,120.0,2015
102690,Dacia,Gasoline,Manual,Used,8990,125.0,2015
49249,Renault,Gasoline,Manual,Used,8990,132.0,2015
30100,Kia,Gasoline,Manual,Used,8990,86.0,2015
69120,Kia,Diesel,Manual,Used,8990,90.0,2015
53000,Skoda,Other,Manual,Used,8990,110.0,2015
285000,Skoda,Diesel,Automatic,Used,9000,184.0,2015
98540,Fiat,Diesel,Manual,Used,9200,128.0,2015
87200,Renault,Gasoline,Manual,Used,9250,132.0,2015
20000,smart,Gasoline,Automatic,Demonstration,9299,71.0,2015
57596,Nissan,Gasoline,Manual,Used,9440,116.0,2015
51833,Ford,Diesel,Manual,Used,9440,95.0,2015
43693,Peugeot,Gasoline,Manual,Used,9450,110.0,2015
109750,Dacia,Gasoline,Manual,Used,9450,105.0,2015
88900,Volkswagen,Gasoline,Manual,Used,9450,86.0,2015
33000,Renault,Electric,Automatic,Used,8495,58.0,2016
36300,Renault,Gasoline,Manual,Used,8499,90.0,2016
36210,Renault,Gasoline,Manual,Used,8499,73.0,2016
101850,Opel,Diesel,Manual,Used,8690,95.0,2016
13832,Citroen,Gasoline,Manual,Used,8690,82.0,2016
